anyo,codigo,titularidad,alumnado_i
2004,29,Privado concertado,912
2004,1,Privado no concertado,139
2004,2,Privado no concertado,37
2004,3,Privado no concertado,24
2004,5,Privado no concertado,21
2004,6,Privado no concertado,561
2004,7,Privado no concertado,201
2004,8,Privado no concertado,150
2004,11,Privado no concertado,185
2004,12,Privado no concertado,190
2004,13,Privado no concertado,32
2004,15,Privado no concertado,51
2004,16,Privado no concertado,279
2004,17,Privado no concertado,15800
2004,19,Privado no concertado,84
2004,20,Privado no concertado,69
2004,22,Privado no concertado,30
2004,1,Privado concertado,494
2004,2,Privado concertado,79
2004,4,Privado concertado,43
2004,5,Privado concertado,180
2004,6,Privado concertado,1105
2004,7,Privado concertado,377
2004,8,Privado concertado,1034
2004,9,Privado concertado,197
2004,11,Privado concertado,151
2004,12,Privado concertado,359
2004,13,Privado concertado,250
2004,15,Privado concertado,329
2004,16,Privado concertado,40
2004,17,Privado concertado,20634
2004,18,Privado concertado,217
2004,19,Privado concertado,97
2004,20,Privado concertado,479
2004,28,Privado concertado,263
2004,16,Pública,2533
2004,17,Pública,38432
2004,18,Pública,471
2004,19,Pública,1409
2004,20,Pública,3310
2004,21,Pública,627
2004,22,Pública,256
2004,23,Pública,516
2004,24,Pública,443
2004,25,Pública,907
2004,26,Pública,411
2004,27,Pública,779
2004,28,Pública,2715
2004,29,Pública,3301
2004,30,Pública,286
2004,31,Pública,233
2004,32,Pública,449
2004,33,Pública,597
2004,25,Privado no concertado,30
2004,28,Privado no concertado,106
2004,29,Privado no concertado,325
2004,1,Pública,1402
2004,2,Pública,1284
2004,3,Pública,425
2004,4,Pública,603
2004,5,Pública,2680
2004,6,Pública,5204
2004,15,Pública,1779
2004,14,Pública,553
2004,13,Pública,951
2004,12,Pública,1027
2004,11,Pública,2064
2004,10,Pública,1410
2004,9,Pública,1002
2004,8,Pública,1823
2004,7,Pública,2149
2005,29,Privado concertado,531
2005,1,Privado no concertado,610
2005,3,Privado no concertado,10
2005,5,Privado no concertado,24
2005,6,Privado no concertado,863
2005,7,Privado no concertado,104
2005,8,Privado no concertado,243
2005,11,Privado no concertado,123
2005,12,Privado no concertado,17
2005,15,Privado no concertado,22
2005,16,Privado no concertado,20
2005,17,Privado no concertado,13709
2005,18,Privado no concertado,54
2005,19,Privado no concertado,9
2005,20,Privado no concertado,350
2005,22,Privado no concertado,5
2005,25,Privado no concertado,30
2005,1,Privado concertado,60
2005,2,Privado concertado,59
2005,4,Privado concertado,86
2005,5,Privado concertado,300
2005,6,Privado concertado,927
2005,7,Privado concertado,401
2005,8,Privado concertado,502
2005,9,Privado concertado,208
2005,11,Privado concertado,602
2005,12,Privado concertado,287
2005,13,Privado concertado,256
2005,15,Privado concertado,348
2005,16,Privado concertado,107
2005,17,Privado concertado,25124
2005,18,Privado concertado,76
2005,19,Privado concertado,159
2005,20,Privado concertado,226
2005,28,Privado concertado,514
2005,17,Pública,39673
2005,18,Pública,415
2005,19,Pública,1106
2005,20,Pública,3002
2005,21,Pública,690
2005,22,Pública,257
2005,23,Pública,465
2005,24,Pública,467
2005,25,Pública,922
2005,26,Pública,852
2005,27,Pública,544
2005,28,Pública,2761
2005,29,Pública,3344
2005,30,Pública,205
2005,31,Pública,257
2005,32,Pública,633
2005,33,Pública,524
2005,28,Privado no concertado,122
2005,29,Privado no concertado,324
2005,1,Pública,1527
2005,2,Pública,1420
2005,3,Pública,517
2005,4,Pública,1035
2005,5,Pública,3324
2005,6,Pública,4652
2005,7,Pública,1775
2005,16,Pública,2129
2005,15,Pública,2298
2005,14,Pública,960
2005,13,Pública,1310
2005,12,Pública,1225
2005,11,Pública,1471
2005,10,Pública,1175
2005,9,Pública,1911
2005,8,Pública,1770
2006,28,Privado concertado,357
2006,29,Privado concertado,1094
2006,3,Privado no concertado,6
2006,4,Privado no concertado,13
2006,5,Privado no concertado,30
2006,6,Privado no concertado,787
2006,7,Privado no concertado,372
2006,8,Privado no concertado,25
2006,11,Privado no concertado,48
2006,12,Privado no concertado,23
2006,15,Privado no concertado,34
2006,16,Privado no concertado,38
2006,17,Privado no concertado,13991
2006,18,Privado no concertado,55
2006,20,Privado no concertado,205
2006,22,Privado no concertado,34
2006,28,Privado no concertado,72
2006,1,Privado concertado,736
2006,2,Privado concertado,121
2006,4,Privado concertado,75
2006,5,Privado concertado,149
2006,6,Privado concertado,1579
2006,7,Privado concertado,105
2006,8,Privado concertado,863
2006,9,Privado concertado,210
2006,11,Privado concertado,308
2006,12,Privado concertado,395
2006,13,Privado concertado,245
2006,15,Privado concertado,139
2006,16,Privado concertado,384
2006,17,Privado concertado,24302
2006,18,Privado concertado,159
2006,19,Privado concertado,110
2006,20,Privado concertado,304
2006,17,Pública,40326
2006,18,Pública,357
2006,19,Pública,1233
2006,20,Pública,2321
2006,21,Pública,586
2006,22,Pública,67
2006,23,Pública,606
2006,24,Pública,298
2006,25,Pública,893
2006,26,Pública,677
2006,27,Pública,776
2006,28,Pública,2684
2006,29,Pública,2819
2006,30,Pública,227
2006,31,Pública,241
2006,32,Pública,313
2006,33,Pública,709
2006,29,Privado no concertado,354
2006,1,Pública,1278
2006,2,Pública,1332
